activation,lr,units,id,objective,elapsed_sec
identity,0.01,10,76a4cd4c-eb51-11eb-8df3-e974156e0e1f,-0.06858667731285095,36.2613570690155
identity,0.9030309274582777,99,76b17920-eb51-11eb-8df3-e974156e0e1f,-12.19607162475586,27.740281343460083
identity,0.5283016424398165,5,76b1ce48-eb51-11eb-8df3-e974156e0e1f,-0.11684972047805786,31.71766233444214
relu,0.8346746642496052,20,76b1e734-eb51-11eb-8df3-e974156e0e1f,-0.03333105519413948,25.955780506134033
relu,0.4191797960515881,72,76b21a9c-eb51-11eb-8df3-e974156e0e1f,0.8006762266159058,29.159183979034424
relu,0.19721777367170418,83,76b25a02-eb51-11eb-8df3-e974156e0e1f,0.9299413561820984,32.26410889625549
relu,0.46605303442899526,66,76b27014-eb51-11eb-8df3-e974156e0e1f,0.7308574318885803,32.26424217224121
relu,0.5569881887750971,78,76b284be-eb51-11eb-8df3-e974156e0e1f,0.7518563866615295,25.40054178237915
sigmoid,0.6884601883480076,33,76b29ab2-eb51-11eb-8df3-e974156e0e1f,-0.18276642262935638,25.2030827999115
relu,0.4606825833067158,15,76b2af66-eb51-11eb-8df3-e974156e0e1f,0.7399256825447083,26.22094440460205
relu,0.7721754785854877,51,76b30088-eb51-11eb-8df3-e974156e0e1f,0.45709142088890076,24.886756658554077
identity,0.17360085857657184,91,76b32cfc-eb51-11eb-8df3-e974156e0e1f,-0.6063748598098755,24.317513704299927
sigmoid,0.7457076476073685,78,76b352ea-eb51-11eb-8df3-e974156e0e1f,-0.09828095138072968,24.31786322593689
relu,0.043313531397674576,31,76b36988-eb51-11eb-8df3-e974156e0e1f,0.9700964689254761,35.47163105010986
identity,0.6005700556496689,60,76b383d2-eb51-11eb-8df3-e974156e0e1f,-0.1813317835330963,30.02594232559204
relu,0.4337668602313599,39,76b3c14e-eb51-11eb-8df3-e974156e0e1f,0.8172512650489807,26.527934074401855
relu,0.5432211982066563,37,76b3d44a-eb51-11eb-8df3-e974156e0e1f,0.8022987842559814,30.753626346588135
relu,0.9678395683301291,12,76b3e908-eb51-11eb-8df3-e974156e0e1f,0.5560611486434937,23.425856113433838
identity,0.40255225414986523,37,76b3fc54-eb51-11eb-8df3-e974156e0e1f,-0.32683756947517395,27.74041986465454
tanh,0.4100765868781795,5,76b41072-eb51-11eb-8df3-e974156e0e1f,-0.02555863931775093,32.264325857162476
identity,0.25568341328346195,97,76b45028-eb51-11eb-8df3-e974156e0e1f,-0.7181268334388733,23.904789924621582
tanh,0.821889572318797,25,76b46bda-eb51-11eb-8df3-e974156e0e1f,-0.027702655643224716,54.92750597000122
